,doi_from_pubmed,pmid,title,citation,year,authors,journal,volume,issue,pages,url,abstract,reference_code,doi_from_robert,reference_code_in_online_database
83,10.1016/0003-2697(86)90338-6,3826613,"The measurement of xylulose 5-phosphate, ribulose 5-phosphate, and combined sedoheptulose 7-phosphate and ribose 5-phosphate in liver tissue.","<PubMedArticle 3826613> Casazza JP; Veech RL. The measurement of xylulose 5-phosphate, ribulose 5-phosphate, and combined sedoheptulose 7-phosphate and ribose 5-phosphate in liver tissue.. Anal Biochem. 1986. 159(2):243-8",1986,Casazza JP; Veech RL,Anal Biochem,159,2,243-8,https://ncbi.nlm.nih.gov/pubmed/3826613,"A modification of the method of Kauffman et al. (F. C. Kauffman, J. G. Brown, J. V. Passonneau, and O. H. Lowry (1969) J. Biol. Chem. 244, 3647-3653) for the spectrophotometric determination of xylulose 5-phosphate, ribulose 5-phosphate, and combined ribose 5-phosphate and sedoheptulose 7-phosphate in tissue extract is presented. Using commercially available enzymes all three assays come to a clear endpoint with the assays described. Values for these metabolites in liver in three dietary states are reported; 48 h starved, ad libitum feeding of standard NIH rat ration, and meal feeding of a fat-free diet. Xylulose 5-phosphate values were 3.8 +/- 0.3, 8.6 +/- 0.3, and 66.3 +/- 8.3 nmol/g. Ribulose 5-phosphate values were 3.4 +/- 0.3, 5.8 +/- 0.2, and 37.1 +/- 5.3 nmol/g. Combined ribose 5-phosphate and sedoheptulose 7-phosphate were 29.3 +/- 0.3, 38.2 +/- 1.2, and 108.2 +/- 14.5 nmol/g. The ratio of measured tissue content of [xylulose 5-phosphate]/[ribulose 5-phosphate] was found to be 1.12 +/- 0.07 in starved animals, 1.48 +/- 0.04 in ad libitum fed animals and 1.78 +/- 0.03 in low-fat meal fed animals. These data are in good agreement with the range of equilibrium constants reported for this reaction, suggesting that the ribulose 5-phosphate 3-epimerase reaction (EC 5.1.3.1) is a near equilibrium reaction despite a more than 10-fold change in the tissue content of these metabolites.",86CAS/VEE,10.1016/0003-2697(86)90338-6,86CAS/VEE_374
84,10.1016/0301-4622(85)80043-0,3931718,"An investigation of the equilibria between aqueous ribose, ribulose, and arabinose.","<PubMedArticle 3931718> Tewari YB; Goldberg RN. An investigation of the equilibria between aqueous ribose, ribulose, and arabinose.. Biophys Chem. 1985. 22(3):197-204",1985,Tewari YB; Goldberg RN,Biophys Chem,22,3,197-204,https://ncbi.nlm.nih.gov/pubmed/3931718,"The thermodynamics of the equilibria between aqueous ribose, ribulose, and arabinose were investigated using high-pressure liquid chromatography and microcalorimetry. The reactions were carried out in aqueous phosphate buffer over the pH range 6.8-7.4 and over the temperature range 313.15-343.75 K using solubilized glucose isomerase with either Mg(NO3)2 or MgSO4 as cofactors. The equilibrium constants (K) and the standard state Gibbs energy (delta G degrees) and enthalpy (delta H degrees) changes at 298.15 K for the three equilibria investigated were found to be: ribose(aq) = ribulose(aq) K = 0.317, delta G degrees = 2.85 +/- 0.14 kJ mol-1, delta H degrees = 11.0 +/- 1.5 kJ mol-1; ribose(aq) = arabinose(aq) K = 4.00, delta G degrees = -3.44 +/- 0.30 kJ mol-1, delta H degrees = -9.8 +/- 3.0 kJ mol-1; ribulose(aq) = arabinose(aq) K = 12.6, delta G degrees = -6.29 +/- 0.34 kJ mol-1, delta H degrees = -20.75 +/- 3.4 kJ mol-1. Information on rates of the above reactions was also obtained. The temperature dependencies of the equilibrium constants are conveniently expressed as R in K = -delta G degrees 298.15/298.15 + delta H degrees 298.15[(1/298.15)-(1/T)] where R is the gas constant (8.31441 J mol-1 K-1) and T the thermodynamic temperature.",85TEW/GOL2,10.1016/0301-4622(85)80043-0,85TEW/GOL2_1378
85,10.1016/0003-9861(85)90228-0,3933423,Thermodynamics of the reactions catalyzed by the multifunctional enzyme complex tryptophan synthase.,<PubMedArticle 3933423> Wiesinger H; Hinz HJ. Thermodynamics of the reactions catalyzed by the multifunctional enzyme complex tryptophan synthase.. Arch Biochem Biophys. 1985. 242(2):440-6,1985,Wiesinger H; Hinz HJ,Arch Biochem Biophys,242,2,440-6,https://ncbi.nlm.nih.gov/pubmed/3933423,"The intrinsic enthalpy changes (corrected for hydration of D-glyceraldehyde 3-phosphate) for the reactions catalyzed by the alpha and beta 2 subunits of tryptophan synthase from Escherichia coli have been determined calorimetrically. Cleavage of indoleglycerol phosphate (alpha reaction) was found to be associated with a delta H value of 54.0 +/- 2.5 kJ mol-1, while condensation of indole with L-serine (beta reaction) involved -80.3 +/- 4.6 kJ mol-1'. By direct determination of the enthalpy concomitant with the overall synthesis of tryptophan from indoleglycerol phosphate and L-serine an enthalpy value of -13.4 +/- 5.6 kJ mol-1 was observed. In view of the uncertainties of the literature data used for calculation of the hydration contribution, the agreement between the directly measured delta H value of the overall reaction and the sum of the enthalpies of the alpha and beta reactions is fair. Deamination of L-serine, a side reaction catalyzed preferentially by the isolated beta 2 pyridoxal 5'-phosphate2 subunit, was shown to be associated with an enthalpy change of -7.3 +/- 0.4 kJ mol-1.",85WIE/HIN,10.1016/0003-9861(85)90228-0,85WIE/HIN_1187
86,10.1016/0003-9861(85)90602-2,3966792,Hepatic microsomal short-chain beta-hydroxyacyl-CoA dehydrase distinct from the fatty acid elongation component: substrate specificity of the membrane-extracted enzyme.,<PubMedArticle 3966792> Cook L; Prasad MR; Vieth R; Cinti DL. Hepatic microsomal short-chain beta-hydroxyacyl-CoA dehydrase distinct from the fatty acid elongation component: substrate specificity of the membrane-extracted enzyme.. Arch Biochem Biophys. 1985. 236(1):26-35,1985,Cook L; Prasad MR; Vieth R; Cinti DL,Arch Biochem Biophys,236,1,26-35,https://ncbi.nlm.nih.gov/pubmed/3966792,"The ability of 0.4 M KCl to extract over 80% of a short-chain beta-hydroxyacyl-CoA dehydrase from rat hepatic endoplasmic reticulum, while more than 80% of the long-chain beta-hydroxyacyl-CoA dehydrase component of the fatty acid chain elongation system remains intact, confirms the existence of more than one hepatic microsomal dehydrase. Following extraction from the microsomal membrane, the short-chain dehydrase undergoes, at least, a two-fold activation. Employing even-numbered trans-2-enoyl-CoA substrates ranging in carbon chain length from 4 to 16, the highest dehydrase specific activity of 16 mumol min-1 mg protein-1 was obtained with trans-2-hexenoyl-CoA; crotonyl-CoA was the second most active substrate, followed by 8 greater than 10 greater than 12 greater than 14 greater than 16. The specific activity of the short-chain dehydrase with trans-2-hexadecenoyl-CoA (C-16) was only 3% of that observed with the trans-2-hexenoyl-CoA. With crotonyl-CoA or beta-hydroxybutyryl-CoA as substrates, HPLC was employed to identify the products, beta-hydroxybutyryl-CoA, of the hydration reaction, or crotonyl-CoA, of the reverse dehydration reaction. It was also observed that the short-chain dehydrase catalyzed the formation of both D(-) and L(+) stereoisomers of beta-hydroxybutyryl-CoA. The equilibrium constant for the dehydrase-catalyzed reaction determined at pH 7.4 and 35 degrees C, was calculated to be 6.38 X 10(-2) M-1, while the standard free energy change was -775 cal/mol, results similar to those obtained with crystalline crotonase. Finally, based on membrane fraction marker enzymes, substrate specificity, and heat lability of the dehydrase, it was concluded that the microsomal membrane contains a short-chain beta-hydroxyacyl-CoA dehydrase which is separate from the mitochondrial crotonase.",85COO/PRA,10.1016/0003-9861(85)90602-2,85COO/PRA_1203
87,10.1021/bi00324a012,3994979,Reversible reduction of an alpha-imino acid to an alpha-amino acid catalyzed by glutamate dehydrogenase: effect of ionizable functional groups.,<PubMedArticle 3994979> Srinivasan R; Fisher HF. Reversible reduction of an alpha-imino acid to an alpha-amino acid catalyzed by glutamate dehydrogenase: effect of ionizable functional groups.. Biochemistry. 1985. 24(3):618-22,1985,Srinivasan R; Fisher HF,Biochemistry,24,3,618-22,https://ncbi.nlm.nih.gov/pubmed/3994979,"The glutamate dehydrogenase catalyzed reduction of delta 1-pyrroline-2-carboxylic acid (PCA; an alpha-imino acid) with reduced nicotinamide adenine dinucleotide phosphate (NADPH) to give L-proline and NADP+ is employed as a model for the redox step of the corresponding enzyme-catalyzed reductive amination of alpha-ketoglutarate. We demonstrate the reversibility of the model reaction and measure its equilibrium constant. The pH profiles for the model reactions show that the active substrates are the N-protonated imino acid in one direction and the proline anion with a neutral amino group in the other. The V/K value for the imino acid reduction is enhanced by a group Z of pK = 8.6 in the enzyme-NADPH complex, while that for the proline reaction is unaffected by any such group in the enzyme-NADP+ complex. The following conclusions emerge from a comparison of the pH dependence of the rates for the model reactions with that for the oxidative deamination of L-glutamate [Rife, J. E., & Cleland, W. W. (1980) Biochemistry 19, 2328]. The N-protonated form of alpha-iminoglutarate and the conjugate base of glutamate are the active substrates. The redox step is not sensitive to the protonation state of the groups that catalyze the hydrolysis of bound alpha-iminoglutarate. The group Z, which facilitates the PCA reaction, plays no role in the binding of alpha-ketoglutarate. We propose a chemical mechanism for the glutamate reaction where an unprotonated enzyme group of pK = 5.2 in enzyme-NADPH catalyzes the conversion of the alpha-iminoglutarate to the carbinolamine.(ABSTRACT TRUNCATED AT 250 WORDS)",85SRI/FIS,10.1021/bi00324a012,85SRI/FIS_293
88,10.1042/bj2300043,4052045,S-Adenosylhomocysteine hydrolase from human placenta. Affinity purification and characterization.,<PubMedArticle 4052045> Hershfield MS; Aiyar VN; Premakumar R; Small WC. S-Adenosylhomocysteine hydrolase from human placenta. Affinity purification and characterization.. Biochem J. 1985. 230(1):43-52,1985,Hershfield MS; Aiyar VN; Premakumar R; Small WC,Biochem J,230,1,43-52,https://ncbi.nlm.nih.gov/pubmed/4052045,"S-Adenosylhomocysteine hydrolase (EC 3.3.1.1) was purified to homogeneity from human placenta by using S-adenosylhomocysteine-agarose affinity chromatography. The enzyme is a tetramer with a native Mr of 189 000 and subunit Mr of 47 000-48 000; there were nine cysteine residues per subunit and no disulphide bonds. The pI was 5.7. H.p.l.c. analysis revealed that the enzyme contained four molecules of tightly bound cofactor (NAD) per tetramer, of which 10-50% was in the reduced form. The enzyme had four binding sites per tetramer for adenosine, of which 10-35% were found to be occupied. Two types of adenosine-binding sites could be distinguished on the basis of differences in rates of dissociation of the enzyme-adenosine complex, and by examining binding of adenosine at 0 degree C and 37 degrees C. The enzyme catalysed the interconversion of adenosine and 4',5'-dehydroadenosine; the equilibrium constant for this reaction was 2.1 and favoured 4',5'-dehydroadenosine formation. Variability in the specific activity of preparations of S-adenosylhomocysteine hydrolase was related to the NAD+/NADH ratio of the preparation. The capacity to bind radioactively labelled adenosine depended on the adenosine content of the purified enzyme. The rate of adenosine binding and the sensitivity of S-adenosylhomocysteine hydrolase to inactivation by adenosine were both diminished in the absence of dithiothreitol.",85HER/AIY,10.1042/bj2300043,85HER/AIY_952
89,10.1016/0301-4622(85)80042-9,4052575,Thermodynamics of the conversion of fumarate to L-(-)-malate.,<PubMedArticle 4052575> Gajewski E; Goldberg RN; Steckler DK. Thermodynamics of the conversion of fumarate to L-(-)-malate.. Biophys Chem. 1985. 22(3):187-95,1985,Gajewski E; Goldberg RN; Steckler DK,Biophys Chem,22,3,187-95,https://ncbi.nlm.nih.gov/pubmed/4052575,"The thermodynamics of the conversion of aqueous fumarate to L-(-)-malate has been investigated using both heat conduction microcalorimetry and a gas chromatographic method for determining equilibrium constants. The reaction was carried out in aqueous Tris-HCl buffer over the pH range 6.3-8.0, the temperature range 25-47 degrees C, and at ionic strengths varying from 0.0005 to 0.62 mol kg-1. Measured enthalpies and equilibrium ratios have been adjusted to zero ionic strength and corrected for ionization effects to obtain the following standard state values for the conversion of aqueous fumarate 2- to malate 2- at 25 degrees C: K = 4.20 +/- 0.05, delta G degrees = -3557 +/- 30 J mol-1, delta H degrees = -15670 +/- 150 J mol-1, and delta C degrees p = -36 +/- J mol-1 K-1. Equations are given which allow one to calculate the combined effects of pH and temperature on equilibrium constants and enthalpies of this reaction.",85GAJ/GOL,10.1016/0301-4622(85)80042-9,85GAJ/GOL_1154
90,10.1016/0301-4622(85)80068-5,4092075,Enthalpy of acetylcholine hydrolysis by acetylcholinesterase.,<PubMedArticle 4092075> Das YT; Brown HD; Chattopadhyay SK. Enthalpy of acetylcholine hydrolysis by acetylcholinesterase.. Biophys Chem. 1985. 23(1-2):105-14,1985,Das YT; Brown HD; Chattopadhyay SK,Biophys Chem,23,1-2,105-14,https://ncbi.nlm.nih.gov/pubmed/4092075,"Direct microcalorimetric measurements were made of the reaction between acetylcholine chloride and acetylcholinesterase (EC 3.1.1.7) that was extracted from electric eel (Electrophorus electricus) and purified by affinity chromatography. Tris-HCl, sodium phosphate and potassium phosphate were used as buffers and sources of ions for the reaction. At pH 7.2 and in 0.1-0.2 M phosphate buffer, the delta H for acetylcholine hydrolysis was found to be -0.107 kcal/mol (under buffered conditions) and -0.931 kcal/mol under unbuffered conditions (water). At pH 8.0 in 0.1 M Tris-HCl buffer, values greater than -2.5 kcal/mol were obtained, with the highest value of -9.2 kcal/mol being seen with bovine erythrocyte acetylcholinesterase. Tris-HCl buffer at 4 X 10(-2) M enhanced the reaction velocity by 51.2% over that of 4 X 10(-3) M buffer. Enzyme purity, pH and ionic milieu of reaction mixture, and substrate concentration affected the measured delta H value.",85DAS/BRO,10.1016/0301-4622(85)80068-5,85DAS/BRO_746
91,,4106365,The reversibility of the adenylate cyclase reaction.,<PubMedArticle 4106365> Takai K; Kurashina Y; Suzuki C; Okamoto H; Ueki A. The reversibility of the adenylate cyclase reaction.. J Biol Chem. 1971. 246(18):5843-5,1971,Takai K; Kurashina Y; Suzuki C; Okamoto H; Ueki A,J Biol Chem,246,18,5843-5,https://ncbi.nlm.nih.gov/pubmed/4106365,,71TAK/KUR,,71TAK/KUR_1230
92,,4150793,Uridine diphosphate galacturonate 4-epimerase from the blue-green alga Anabaena flos-aquae.,<PubMedArticle 4150793> Gaunt MA; Maitra US; Ankel H. Uridine diphosphate galacturonate 4-epimerase from the blue-green alga Anabaena flos-aquae.. J Biol Chem. 1974. 249(8):2366-72,1974,Gaunt MA; Maitra US; Ankel H,J Biol Chem,249,8,2366-72,https://ncbi.nlm.nih.gov/pubmed/4150793,,74GAU/MAI,,74GAU/MAI_1271
